ADDETTO PRODUZIONE
ADDETTO COMMERCIALE
ADDETTO COMMERCIALE POST
ADDETTO CONTROLLO E COORDINATORE CARICHI
ADDETTO COORDINATORE CARICHI
ADDETTO IMBALLAGGIO
ADDETTO IMBALLAGGIO PRODOTTO FINITO
ADDETTO JOLLY
ADDETTO LABORATORIO
ADDETTO LINEA 4
ADDETTO MAGAZZINIERE
ADDETTO MAGAZZINO COILS
ADDETTO MANUTENZIONE ELETTRICA
ADDETTO PREPARAZIONE DEI CAMPIONI
ADDETTO PROFILATURA
ADDETTO PULIZIA PRODOTTO FINITO
ADDETTO SCARICO PRODOTTI CHIMICI
ADDETTO SCHIUMATURA
ADDETTO TACCHETTATRICE
ADDETTO TAGLIERINA
ADDETTO TAGLIO PRODOTTO FINITO
ADDETTO UFFICI PRE
ADDETTO UFFICI POST
ADDETTO UFFICI OPERATIVI PRE
ADDETTO UFFICI OPERATIVI POST
ADDETTO UFFICIO TECNICO PRE
ADDETTO UFFICIO TECNICO POST
ADDETTO UTILIZZATORE PLE
CAPOTURNO
CARRELLISTA
CARRELLISTA DI LINEA
CONTROLLO PRODUZIONE PRE
CONTROLLO PRODUZIONE POST
UFFICIO PRODUZIONE
ADDETTO GESTIONE POLO CHIMICO
ADDETTO MANUTENZIONE MECCANICA
ADDETTO ASSEMBLAGGIO
